step,q
41,-0.4802980050000002
41,-0.4802980050000002
41,-0.4802980050000002
41,-0.4802980050000002
41,-0.4802980050000002
42,-0.4802980050000002
42,-0.4802980050000002
42,-0.4322682045000002
42,-0.38904138405000016
42,-0.4279455224550002
42,-0.4707400747005003
42,-0.4707400747005003
42,-0.4707400747005003
42,-0.4707400747005003
42,-0.4707400747005003
43,-0.4707400747005003
43,-0.4707400747005003
43,-0.4707400747005003
43,-0.4707400747005003
43,-0.4707400747005003
43,-0.4707400747005003
44,-0.4707400747005003
44,-0.4707400747005003
44,-0.4707400747005003
44,-0.4707400747005003
44,-0.4707400747005003
44,-0.4707400747005003
45,-0.4707400747005003
45,-0.4707400747005003
45,-0.4707400747005003
45,-0.4707400747005003
45,-0.4707400747005003
45,-0.4707400747005003
46,-0.4707400747005003
46,-0.4707400747005003
46,-0.42366606723045025
46,-0.3812994605074052
46,-0.41942940655814576
46,-0.46137234721396037
46,-0.46137234721396037
46,-0.46137234721396037
46,-0.46137234721396037
46,-0.46137234721396037
47,-0.46137234721396037
47,-0.46137234721396037
47,-0.46137234721396037
47,-0.46137234721396037
47,-0.46137234721396037
47,-0.46137234721396037
48,-0.46137234721396037
48,-0.46137234721396037
48,-0.46137234721396037
48,-0.46137234721396037
48,-0.46137234721396037
48,-0.46137234721396037
49,-0.46137234721396037
49,-0.46137234721396037
49,-0.46137234721396037
49,-0.46137234721396037
49,-0.46137234721396037
49,-0.46137234721396037
50,-0.46137234721396037
50,-0.46137234721396037
50,-0.41523511249256434
50,-0.37371160124330793
50,-0.41108276136763877
50,-0.4521910375044027
50,-0.4521910375044027
50,-0.4521910375044027
50,-0.4521910375044027
50,-0.4521910375044027
51,-0.4521910375044027
51,-0.4521910375044027
51,-0.4521910375044027
51,-0.4521910375044027
51,-0.4521910375044027
51,-0.4521910375044027
52,-0.4521910375044027
52,-0.4521910375044027
52,-0.4521910375044027
52,-0.4521910375044027
52,-0.4521910375044027
52,-0.4521910375044027
53,-0.4521910375044027
53,-0.4521910375044027
53,-0.4521910375044027
53,-0.4521910375044027
53,-0.4521910375044027
53,-0.4521910375044027
54,-0.4521910375044027
54,-0.4521910375044027
54,-0.40697193375396246
54,-0.3662747403785662
54,-0.3662747403785662
54,-0.3662747403785662
54,-0.3662747403785662
54,-0.3662747403785662
55,-0.3662747403785662
55,-0.3662747403785662
55,-0.4029022144164229
55,-0.4431924358580652
55,-0.4431924358580652
55,-0.4431924358580652
55,-0.4431924358580652
55,-0.4431924358580652
56,-0.4431924358580652
56,-0.4431924358580652
56,-0.4431924358580652
56,-0.4431924358580652
56,-0.4431924358580652
56,-0.4431924358580652
57,-0.4431924358580652
57,-0.4431924358580652
57,-0.4431924358580652
57,-0.4431924358580652
57,-0.4431924358580652
57,-0.4431924358580652
58,-0.4431924358580652
58,-0.4431924358580652
58,-0.4431924358580652
58,-0.4431924358580652
58,-0.4431924358580652
58,-0.4431924358580652
59,-0.4431924358580652
59,-0.4431924358580652
59,-0.4431924358580652
59,-0.4431924358580652
59,-0.4431924358580652
59,-0.4431924358580652
60,-0.4431924358580652
60,-0.4431924358580652
60,-0.3988731922722587
60,-0.3589858730450328
60,-0.3589858730450328
60,-0.3589858730450328
60,-0.3589858730450328
60,-0.3589858730450328
61,-0.3589858730450328
61,-0.3589858730450328
61,-0.3948844603495361
61,-0.4343729063844898
61,-0.4343729063844898
61,-0.4343729063844898
61,-0.4343729063844898
61,-0.4343729063844898
62,-0.4343729063844898
62,-0.4343729063844898
62,-0.4343729063844898
62,-0.4343729063844898
62,-0.4343729063844898
62,-0.4343729063844898
63,-0.4343729063844898
63,-0.4343729063844898
63,-0.4343729063844898
63,-0.4343729063844898
63,-0.4343729063844898
63,-0.4343729063844898
64,-0.4343729063844898
64,-0.4343729063844898
64,-0.4343729063844898
64,-0.4343729063844898
64,-0.4343729063844898
64,-0.4343729063844898
65,-0.4343729063844898
65,-0.4343729063844898
65,-0.4343729063844898
65,-0.4343729063844898
65,-0.4343729063844898
65,-0.4343729063844898
66,-0.4343729063844898
66,-0.4343729063844898
66,-0.3909356157460408
66,-0.3518420541714367
66,-0.3518420541714367
66,-0.3518420541714367
66,-0.3518420541714367
66,-0.3518420541714367
67,-0.3518420541714367
67,-0.3518420541714367
67,-0.3870262595885804
67,-0.4257288855474385
67,-0.4257288855474385
67,-0.4257288855474385
67,-0.4257288855474385
67,-0.4257288855474385
68,-0.4257288855474385
68,-0.4257288855474385
68,-0.4257288855474385
68,-0.4257288855474385
68,-0.4257288855474385
68,-0.4257288855474385
69,-0.4257288855474385
69,-0.4257288855474385
69,-0.4257288855474385
69,-0.4257288855474385
69,-0.4257288855474385
69,-0.4257288855474385
70,-0.4257288855474385
70,-0.4257288855474385
70,-0.4257288855474385
70,-0.4257288855474385
70,-0.4257288855474385
70,-0.4257288855474385
71,-0.4257288855474385
71,-0.4257288855474385
71,-0.38315599699269465
71,-0.3448403972934252
71,-0.3448403972934252
71,-0.3448403972934252
71,-0.3448403972934252
71,-0.3448403972934252
72,-0.3448403972934252
72,-0.3448403972934252
72,-0.37932443702276775
72,-0.4172568807250446
72,-0.4172568807250446
72,-0.4172568807250446
72,-0.4172568807250446
72,-0.4172568807250446
73,-0.4172568807250446
73,-0.4172568807250446
73,-0.4172568807250446
73,-0.4172568807250446
73,-0.4172568807250446
73,-0.4172568807250446
74,-0.4172568807250446
74,-0.4172568807250446
74,-0.4172568807250446
74,-0.4172568807250446
74,-0.4172568807250446
74,-0.4172568807250446
75,-0.4172568807250446
75,-0.4172568807250446
75,-0.4172568807250446
75,-0.4172568807250446
75,-0.4172568807250446
75,-0.4172568807250446
76,-0.4172568807250446
76,-0.4172568807250446
76,-0.4172568807250446
76,-0.4172568807250446
76,-0.4172568807250446
76,-0.4172568807250446
77,-0.4172568807250446
77,-0.4172568807250446
77,-0.37553119265254015
77,-0.33797807338728614
77,-0.33797807338728614
77,-0.33797807338728614
77,-0.33797807338728614
77,-0.33797807338728614
78,-0.33797807338728614
78,-0.33797807338728614
78,-0.3717758807260148
78,-0.4089534687986163
78,-0.4089534687986163
78,-0.4089534687986163
78,-0.4089534687986163
78,-0.4089534687986163
79,-0.4089534687986163
79,-0.4089534687986163
79,-0.4089534687986163
79,-0.4089534687986163
79,-0.4089534687986163
79,-0.4089534687986163
80,-0.4089534687986163
80,-0.4089534687986163
80,-0.4089534687986163
80,-0.4089534687986163
80,-0.4089534687986163
80,-0.4089534687986163
81,-0.4089534687986163
81,-0.4089534687986163
81,-0.4089534687986163
81,-0.4089534687986163
81,-0.4089534687986163
81,-0.4089534687986163
82,-0.4089534687986163
82,-0.4089534687986163
82,-0.3680581219187547
82,-0.33125230972687925
82,-0.33125230972687925
82,-0.33125230972687925
82,-0.33125230972687925
82,-0.33125230972687925
83,-0.33125230972687925
83,-0.33125230972687925
83,-0.3643775406995672
83,-0.40081529476952393
83,-0.40081529476952393
83,-0.40081529476952393
83,-0.40081529476952393
83,-0.40081529476952393
84,-0.40081529476952393
84,-0.40081529476952393
84,-0.40081529476952393
84,-0.40081529476952393
84,-0.40081529476952393
84,-0.40081529476952393
85,-0.40081529476952393
85,-0.40081529476952393
85,-0.40081529476952393
85,-0.40081529476952393
85,-0.40081529476952393
85,-0.40081529476952393
86,-0.40081529476952393
86,-0.40081529476952393
86,-0.40081529476952393
86,-0.40081529476952393
86,-0.40081529476952393
86,-0.40081529476952393
87,-0.40081529476952393
87,-0.40081529476952393
87,-0.40081529476952393
87,-0.40081529476952393
87,-0.40081529476952393
87,-0.40081529476952393
88,-0.40081529476952393
88,-0.40081529476952393
88,-0.36073376529257156
88,-0.32466038876331443
88,-0.32466038876331443
88,-0.32466038876331443
88,-0.32466038876331443
88,-0.32466038876331443
89,-0.32466038876331443
89,-0.32466038876331443
89,-0.3571264276396459
89,-0.39283907040361055
89,-0.39283907040361055
89,-0.39283907040361055
89,-0.39283907040361055
89,-0.39283907040361055
90,-0.39283907040361055
90,-0.39283907040361055
90,-0.39283907040361055
90,-0.39283907040361055
90,-0.39283907040361055
90,-0.39283907040361055
91,-0.39283907040361055
91,-0.39283907040361055
91,-0.39283907040361055
91,-0.39283907040361055
91,-0.39283907040361055
91,-0.39283907040361055
92,-0.39283907040361055
92,-0.39283907040361055
92,-0.39283907040361055
92,-0.39283907040361055
92,-0.39283907040361055
92,-0.39283907040361055
93,-0.39283907040361055
93,-0.39283907040361055
93,-0.3535551633632495
93,-0.31819964702692455
93,-0.31819964702692455
93,-0.31819964702692455
93,-0.31819964702692455
93,-0.31819964702692455
94,-0.31819964702692455
94,-0.31819964702692455
94,-0.35001961172961704
94,-0.38502157290257877
94,-0.38502157290257877
94,-0.38502157290257877
94,-0.38502157290257877
94,-0.38502157290257877
95,-0.38502157290257877
95,-0.38502157290257877
95,-0.38502157290257877
95,-0.38502157290257877
95,-0.38502157290257877
95,-0.38502157290257877
96,-0.38502157290257877
96,-0.38502157290257877
96,-0.38502157290257877
96,-0.38502157290257877
96,-0.38502157290257877
96,-0.38502157290257877
97,-0.38502157290257877
97,-0.38502157290257877
97,-0.38502157290257877
97,-0.38502157290257877
97,-0.38502157290257877
97,-0.38502157290257877
98,-0.38502157290257877
98,-0.38502157290257877
98,-0.38502157290257877
98,-0.38502157290257877
98,-0.38502157290257877
98,-0.38502157290257877
99,-0.38502157290257877
99,-0.38502157290257877
99,-0.3465194156123209
99,-0.31186747405108883
99,-0.31186747405108883
99,-0.31186747405108883
99,-0.31186747405108883
99,-0.31186747405108883
100,-0.31186747405108883
100,-0.31186747405108883
100,-0.34305422145619774
100,-0.37735964360181756
100,-0.37735964360181756
100,-0.37735964360181756
100,-0.37735964360181756
100,-0.37735964360181756
101,-0.37735964360181756
101,-0.37735964360181756
101,-0.37735964360181756
101,-0.37735964360181756
101,-0.37735964360181756
101,-0.37735964360181756
102,-0.37735964360181756
102,-0.37735964360181756
102,-0.37735964360181756
102,-0.37735964360181756
102,-0.37735964360181756
102,-0.37735964360181756
103,-0.37735964360181756
103,-0.37735964360181756
103,-0.37735964360181756
103,-0.37735964360181756
103,-0.37735964360181756
103,-0.37735964360181756
104,-0.37735964360181756
104,-0.37735964360181756
104,-0.37735964360181756
104,-0.37735964360181756
104,-0.37735964360181756
104,-0.37735964360181756
105,-0.37735964360181756
105,-0.37735964360181756
105,-0.33962367924163583
105,-0.30566131131747226
105,-0.30566131131747226
105,-0.30566131131747226
105,-0.30566131131747226
105,-0.30566131131747226
106,-0.30566131131747226
106,-0.30566131131747226
106,-0.33622744244921954
106,-0.36985018669414155
106,-0.36985018669414155
106,-0.36985018669414155
106,-0.36985018669414155
106,-0.36985018669414155
107,-0.36985018669414155
107,-0.36985018669414155
107,-0.36985018669414155
107,-0.36985018669414155
107,-0.36985018669414155
107,-0.36985018669414155
108,-0.36985018669414155
108,-0.36985018669414155
108,-0.36985018669414155
108,-0.36985018669414155
108,-0.36985018669414155
108,-0.36985018669414155
109,-0.36985018669414155
109,-0.36985018669414155
109,-0.36985018669414155
109,-0.36985018669414155
109,-0.36985018669414155
109,-0.36985018669414155
110,-0.36985018669414155
110,-0.36985018669414155
110,-0.36985018669414155
110,-0.36985018669414155
110,-0.36985018669414155
110,-0.36985018669414155
111,-0.36985018669414155
111,-0.36985018669414155
111,-0.36985018669414155
111,-0.36985018669414155
111,-0.36985018669414155
111,-0.36985018669414155
112,-0.36985018669414155
112,-0.36985018669414155
112,-0.3328651680247274
112,-0.29957865122225463
112,-0.29957865122225463
112,-0.29957865122225463
112,-0.29957865122225463
112,-0.29957865122225463
113,-0.29957865122225463
113,-0.29957865122225463
113,-0.3295365163444801
113,-0.36249016797892814
113,-0.36249016797892814
113,-0.36249016797892814
113,-0.36249016797892814
113,-0.36249016797892814
114,-0.36249016797892814
114,-0.36249016797892814
114,-0.36249016797892814
114,-0.36249016797892814
114,-0.36249016797892814
114,-0.36249016797892814
115,-0.36249016797892814
115,-0.36249016797892814
115,-0.36249016797892814
115,-0.36249016797892814
115,-0.36249016797892814
115,-0.36249016797892814
116,-0.36249016797892814
116,-0.36249016797892814
116,-0.36249016797892814
116,-0.36249016797892814
116,-0.36249016797892814
116,-0.36249016797892814
117,-0.36249016797892814
117,-0.36249016797892814
117,-0.36249016797892814
117,-0.36249016797892814
117,-0.36249016797892814
117,-0.36249016797892814
118,-0.36249016797892814
118,-0.36249016797892814
118,-0.3262411511810353
118,-0.29361703606293177
118,-0.29361703606293177
118,-0.29361703606293177
118,-0.29361703606293177
118,-0.29361703606293177
119,-0.29361703606293177
119,-0.29361703606293177
119,-0.32297873966922497
119,-0.3552766136361475
119,-0.3552766136361475
119,-0.3552766136361475
119,-0.3552766136361475
119,-0.3552766136361475
